Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
564,564,11 Oct 1997 19:00 (+3:00),11-10-1997,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Hungary,1-1 Finland vs Hungary,Draw,"1998 FIFA World Cup Qualification, Group 3"
565,565,05 Feb 1998 15:00 (+2:00),05-02-1998,"Limassol, Tsirion Athletic Center",Cyprus,1-1 Cyprus vs Finland,1-1 Finland vs Cyprus,Draw,"Cyprus International Tournament 1998, Group A"
566,566,09 Feb 1998 15:00 (+2:00),09-02-1998,"Larnaca, G.S.Z. Stadium",Cyprus,0-2 Finland vs Slovakia,0-2 Finland vs Slovakia,Lost,"Cyprus International Tournament 1998, For 3rd place"
567,567,25 Mar 1998 20:00 (+1:00),25-03-1998,"Attard, Ta`Qali National Stadium",Malta,0-2 Malta vs Finland,2-0 Finland vs Malta,Won,Friendly International
568,568,22 Apr 1998 20:00 (+1:00),22-04-1998,"Edinburgh, Easter Road Stadium",United Kingdom (Scotland),1-1 Scotland vs Finland,1-1 Finland vs Scotland,Draw,Friendly International
569,569,27 May 1998 20:30 (+3:00),27-05-1998,"Helsinki, Helsingin Olympiastadion",Finland,0-0 Finland vs Germany,0-0 Finland vs Germany,Draw,Friendly International
570,570,05 Jun 1998 19:00 (+3:00),05-06-1998,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs France,0-1 Finland vs France,Lost,Friendly International
571,571,19 Aug 1998 20:15 (+2:00),19-08-1998,"Košice, Štadión Lokomotívy v Čermeli",Slovakia,0-0 Slovakia vs Finland,0-0 Finland vs Slovakia,Draw,Friendly International
572,572,05 Sep 1998 19:00 (+3:00),05-09-1998,"Helsinki, Helsingin Olympiastadion",Finland,3-2 Finland vs Moldova,3-2 Finland vs Moldova,Won,"UEFA Euro 2000 Qualifying, Group 3"
573,573,10 Oct 1998 15:00 (+1:00),10-10-1998,"Belfast, Windsor Park",United Kingdom (Northern Ireland),1-0 Northern Ireland vs Finland,0-1 Finland vs Northern Ireland,Lost,"UEFA Euro 2000 Qualifying, Group 3"
574,574,14 Oct 1998 20:30 (+3:00),14-10-1998,"Istanbul, Ali Sami Yen Stadı",Turkey,1-3 Turkey vs Finland,3-1 Finland vs Turkey,Won,"UEFA Euro 2000 Qualifying, Group 3"
575,575,03 Feb 1999 20:00 (+2:00),03-02-1999,"Larnaca, G.S.Z. Stadium",Cyprus,1-2 Finland vs Greece,1-2 Finland vs Greece,Lost,"Cyprus International Tournament 1999, Semifinal"
576,576,05 Feb 1999 18:00 (+2:00),05-02-1999,"Paralimni, Municipal Stadium Tasos Markou",Cyprus,2-1 Cyprus vs Finland,1-2 Finland vs Cyprus,Lost,"Cyprus International Tournament 1999, For 3rd place"
577,577,10 Feb 1999 17:30 (+1:00),10-02-1999,"Attard, Ta`Qali National Stadium",Malta,1-1 Finland vs Poland,1-1 Finland vs Poland,Draw,Friendly International
578,578,31 Mar 1999 20:30 (+2:00),31-03-1999,"Nuremberg, Frankenstadion",Germany,2-0 Germany vs Finland,0-2 Finland vs Germany,Lost,"UEFA Euro 2000 Qualifying, Group 3"
579,579,28 Apr 1999 18:00 (+2:00),28-04-1999,"Ljubljana, Železničarsko Športno Društvo (Ž.Š.D.) Stadion",Slovenia,1-1 Slovenia vs Finland,1-1 Finland vs Slovenia,Draw,Friendly International
580,580,05 Jun 1999 19:00 (+3:00),05-06-1999,"Helsinki, Helsingin Olympiastadion",Finland,2-4 Finland vs Turkey,2-4 Finland vs Turkey,Lost,"UEFA Euro 2000 Qualifying, Group 3"
581,581,09 Jun 1999 19:00 (+3:00),09-06-1999,"Chișinău, Stadionul Republican",Moldova,0-0 Moldova vs Finland,0-0 Finland vs Moldova,Draw,"UEFA Euro 2000 Qualifying, Group 3"
582,582,18 Aug 1999 20:00 (+2:00),18-08-1999,"Bruges, Jan Breydelstadion",Belgium,3-4 Belgium vs Finland,4-3 Finland vs Belgium,Won,Friendly International
583,583,04 Sep 1999 20:00 (+3:00),04-09-1999,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Germany,1-2 Finland vs Germany,Lost,"UEFA Euro 2000 Qualifying, Group 3"
584,584,09 Oct 1999 19:00 (+3:00),09-10-1999,"Helsinki, Helsingin Olympiastadion",Finland,4-1 Finland vs Northern Ireland,4-1 Finland vs Northern Ireland,Won,"UEFA Euro 2000 Qualifying, Group 3"
585,585,31 Jan 2000,31-01-2000,"La Manga del Mar Menor, La Manga Club Centro de Fútbol Profesional",Spain,0-1 Faroe Islands vs Finland,1-0 Finland vs Faroe Islands,Won,Nordic Football Championship 2000-2001
586,586,02 Feb 2000,02-02-2000,"La Manga del Mar Menor, La Manga Club Centro de Fútbol Profesional",Spain,0-1 Finland vs Iceland,0-1 Finland vs Iceland,Lost,Nordic Football Championship 2000-2001
587,587,04 Feb 2000,04-02-2000,"La Manga del Mar Menor, La Manga Club Centro de Fútbol Profesional",Spain,1-2 Denmark* vs Finland,2-1 Finland vs Denmark*,Won,Nordic Football Championship 2000-2001
588,588,20 Feb 2000,20-02-2000,"Bangkok, Rajamangala National Stadium",Thailand,0-0 Thailand vs Finland,0-0 Finland vs Thailand,Draw,King`s Cup 2000
589,589,23 Feb 2000,23-02-2000,"Bangkok, Rajamangala National Stadium",Thailand,2-4 Estonia vs Finland,4-2 Finland vs Estonia,Won,King`s Cup 2000
590,590,27 Feb 2000,27-02-2000,"Bangkok, Rajamangala National Stadium",Thailand,5-1 Thailand vs Finland,1-5 Finland vs Thailand,Lost,"King`s Cup 2000, Final"
591,591,29 Mar 2000 19:00 (+1:00),29-03-2000,"Cardiff, Millennium Stadium",United Kingdom (Wales),1-2 Wales vs Finland,2-1 Finland vs Wales,Won,Friendly International
592,592,26 Apr 2000 20:00 (+2:00),26-04-2000,"Poznań, Stadion Miejski",Poland,0-0 Poland vs Finland,0-0 Finland vs Poland,Draw,Friendly International
593,593,03 Jun 2000 18:30 (+2:00),03-06-2000,"Rīga, Daugavas Stadions",Latvia,1-0 Latvia vs Finland,0-1 Finland vs Latvia,Lost,Friendly International
594,594,16 Aug 2000 20:00 (+3:00),16-08-2000,"Helsinki, FinnAir Stadium",Finland,3-1 Finland vs Norway,3-1 Finland vs Norway,Won,Nordic Football Championship 2000-2001
595,595,02 Sep 2000 15:00 (+3:00),02-09-2000,"Helsinki, FinnAir Stadium",Finland,2-1 Finland vs Albania,2-1 Finland vs Albania,Won,"2002 FIFA World Cup Qualification, Group 9"
596,596,07 Oct 2000 20:00 (+3:00),07-10-2000,"Marousi, Olympic Stadium of Athens \""Spyros Louis\"",""1-0 Greece vs Finland",Greece,0-1 Finland vs Greece,Lost,"2002 FIFA World Cup Qualification, Group 9",
597,597,11 Oct 2000 19:00 (+3:00),11-10-2000,"Helsinki, Helsingin Olympiastadion",Finland,0-0 Finland vs England,0-0 Finland vs England,Draw,"2002 FIFA World Cup Qualification, Group 9"
598,598,15 Nov 2000 19:30,15-11-2000,"Dublin, Lansdowne Road",Ireland,3-0 Rep. of Ireland vs Finland,0-3 Finland vs Rep. of Ireland,Lost,Friendly International
599,599,01 Feb 2001 19:00 (+1:00),01-02-2001,"Jönköping, Tipshallen",Sweden,0-1 Sweden vs Finland,1-0 Finland vs Sweden,Won,Nordic Football Championship 2000-2001
600,600,15 Feb 2001,15-02-2001,"Adiliya, Al-Sadaqua Walsalam Stadium",Kuwait,4-3 Kuwait vs Finland,3-4 Finland vs Kuwait,Lost,Friendly International
601,601,18 Feb 2001,18-02-2001,"Muscat, Sultan Qaboos Sports Complex",Oman,1-2 Oman vs Finland,2-1 Finland vs Oman,Won,Friendly International
602,602,20 Feb 2001,20-02-2001,"Muscat, Sultan Qaboos Sports Complex",Oman,0-2 Oman vs Finland,2-0 Finland vs Oman,Won,Friendly International
603,603,28 Feb 2001,28-02-2001,"Luxembourg City, Stade Josy Barthel",Luxembourg,0-1 Luxembourg vs Finland,1-0 Finland vs Luxembourg,Won,Friendly International
604,604,24 Mar 2001 15:00,24-03-2001,"Liverpool, Anfield Road",United Kingdom (England),2-1 England vs Finland,1-2 Finland vs England,Lost,"2002 FIFA World Cup Qualification, Group 9"
